"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SelectOption.java","72","1","72","72","72","72","72","72","72","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java","66","1","66","66","66","66","66","66","66","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java","77","1","77","77","77","77","77","77","77","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/StatusBean.java","59","1","59","59","59","59","59","59","59","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/StatusUtils.java","184","1","184","184","184","184","184","184","184","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java","95","1","95","95","95","95","95","95","95","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java","102","1","102","102","102","102","102","102","102","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java","183","1","183","183","183","183","183","183","183","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java","119","1","119","119","119","119","119","119","119","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java","50","1","50","50","50","50","50","50","50","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java","211","1","211","211","211","211","211","211","211","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java","54","1","54","54","54","54","54","54","54","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/BasePage.java","221","3","234","227","221","221","221","221","73","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/Configuration.java","705","3","755","729","711","711","717","711","239","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ConfigurationModalPage.java","116","1","116","116","116","116","116","116","116","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java","443","2","461","443","436","436","443","436","221","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java","119","1","119","119","119","119","119","119","119","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java","311","3","331","316","304","304","311","304","103","1","false"
