"Dataset","#trainingReleases","%training","%defectiveTraining","%defectiveTesting","classifier","balancing","featureSelection","sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","Best First","Sensitive learning","0.928315","0.90625","0.09375","0.071685","0.899306","0.928315","0.490423","0.025203"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","Best First","No cost sensitive","0.734767","0.65625","0.34375","0.265233","0.90708","0.734767","0.564068","0.045303"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","No selection","Sensitive threshold","0.928315","0.90625","0.09375","0.071685","0.899306","0.928315","0.511033","0.025203"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","No selection","Sensitive learning","0.928315","0.90625","0.09375","0.071685","0.899306","0.928315","0.490423","0.025203"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Undersampling","No selection","No cost sensitive","0.992832","0.96875","0.03125","0.007168","0.899351","0.992832","0.629424","0.040213"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","Best First","Sensitive threshold","0.935484","0.875","0.125","0.064516","0.903114","0.935484","0.530242","0.070194"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","Best First","Sensitive learning","0.935484","0.875","0.125","0.064516","0.903114","0.935484","0.514113","0.070194"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","Best First","No cost sensitive","0.924731","0.875","0.125","0.075269","0.902098","0.924731","0.503752","0.055063"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","No selection","Sensitive threshold","0.935484","0.875","0.125","0.064516","0.903114","0.935484","0.530242","0.070194"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","No selection","Sensitive learning","0.935484","0.875","0.125","0.064516","0.903114","0.935484","0.514113","0.070194"
"BOOKKEEPER","2","55.99","10.33","10.26","IBk","Oversampling","No selection","No cost sensitive","0.992832","0.96875","0.03125","0.007168","0.899351","0.992832","0.629424","0.040213"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","Best First","Sensitive threshold","0.567742","0.489362","0.510638","0.432258","0.884422","0.567742","0.53919","0.039155"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","Best First","Sensitive learning","0.909677","0.914894","0.085106","0.090323","0.867692","0.909677","0.578861","-0.006033"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","Best First","No cost sensitive","0.970968","1.0","0.0","0.029032","0.864943","0.970968","0.700824","-0.044187"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","No selection","Sensitive threshold","0.567742","0.489362","0.510638","0.432258","0.884422","0.567742","0.53919","0.039155"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","No selection","Sensitive learning","0.909677","0.914894","0.085106","0.090323","0.867692","0.909677","0.578861","-0.006033"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","No sampling","No selection","No cost sensitive","0.96129","1.0","0.0","0.03871","0.863768","0.96129","0.633905","-0.056584"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","Best First","Sensitive threshold","0.541935","0.425532","0.574468","0.458065","0.893617","0.541935","0.558202","0.055401"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","Best First","Sensitive learning","0.854839","0.851064","0.148936","0.145161","0.868852","0.854839","0.610432","0.003612"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","Best First","No cost sensitive","0.690323","0.340426","0.659574","0.309677","0.930435","0.690323","0.714825","0.203189"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","No selection","Sensitive threshold","0.541935","0.425532","0.574468","0.458065","0.893617","0.541935","0.558202","0.055401"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","No selection","Sensitive learning","0.854839","0.851064","0.148936","0.145161","0.868852","0.854839","0.610432","0.003612"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Undersampling","No selection","No cost sensitive","0.964516","1.0","0.0","0.035484","0.864162","0.964516","0.612663","-0.052562"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","Best First","Sensitive threshold","0.516129","0.319149","0.680851","0.483871","0.914286","0.516129","0.59849","0.088793"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","Best First","Sensitive learning","0.851613","0.914894","0.085106","0.148387","0.859935","0.851613","0.583974","-0.061612"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","Best First","No cost sensitive","0.883871","0.851064","0.148936","0.116129","0.872611","0.883871","0.667159","0.034036"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","No selection","Sensitive threshold","0.516129","0.319149","0.680851","0.483871","0.914286","0.516129","0.59849","0.088793"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","No selection","Sensitive learning","0.851613","0.914894","0.085106","0.148387","0.859935","0.851613","0.583974","-0.061612"
"BOOKKEEPER","3","66.42","12.85","13.13","Random Forest","Oversampling","No selection","No cost sensitive","0.964516","1.0","0.0","0.035484","0.864162","0.964516","0.612663","-0.052562"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","Best First","Sensitive threshold","0.916129","0.617021","0.382979","0.083871","0.907348","0.916129","0.649554","0.307432"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","Best First","Sensitive learning","0.929032","0.702128","0.297872","0.070968","0.897196","0.929032","0.783905","0.251915"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","Best First","No cost sensitive","0.977419","1.0","0.0","0.022581","0.865714","0.977419","0.717605","-0.035338"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","No selection","Sensitive threshold","0.916129","0.617021","0.382979","0.083871","0.907348","0.916129","0.649554","0.307432"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","No selection","Sensitive learning","0.929032","0.702128","0.297872","0.070968","0.897196","0.929032","0.783905","0.251915"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","No sampling","No selection","No cost sensitive","0.948387","0.787234","0.212766","0.051613","0.888218","0.948387","0.783905","0.19884"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","Best First","Sensitive threshold","0.887097","0.574468","0.425532","0.112903","0.910596","0.887097","0.656314","0.291576"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","Best First","Sensitive learning","0.903226","0.617021","0.382979","0.096774","0.906149","0.903226","0.753638","0.283645"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","Best First","No cost sensitive","0.974194","0.93617","0.06383","0.025806","0.872832","0.974194","0.742896","0.056324"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","No selection","Sensitive threshold","0.887097","0.574468","0.425532","0.112903","0.910596","0.887097","0.656314","0.291576"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","No selection","Sensitive learning","0.903226","0.617021","0.382979","0.096774","0.906149","0.903226","0.753638","0.283645"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Undersampling","No selection","No cost sensitive","0.948387","0.787234","0.212766","0.051613","0.888218","0.948387","0.783905","0.19884"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Oversampling","Best First","Sensitive threshold","0.874194","0.553191","0.446809","0.125806","0.912458","0.874194","0.660501","0.287294"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Oversampling","Best First","Sensitive learning","0.9","0.595745","0.404255","0.1","0.908795","0.9","0.76081","0.296234"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Oversampling","Best First","No cost sensitive","0.970968","0.957447","0.042553","0.029032","0.869942","0.970968","0.706005","0.020028"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Oversampling","No selection","Sensitive threshold","0.874194","0.553191","0.446809","0.125806","0.912458","0.874194","0.660501","0.287294"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Oversampling","No selection","Sensitive learning","0.9","0.595745","0.404255","0.1","0.908795","0.9","0.76081","0.296234"
"BOOKKEEPER","3","66.42","12.85","13.13","Naive Bayes","Oversampling","No selection","No cost sensitive","0.948387","0.787234","0.212766","0.051613","0.888218","0.948387","0.783905","0.19884"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","No sampling","Best First","Sensitive threshold","0.935484","0.93617","0.06383","0.064516","0.868263","0.935484","0.499657","-8.76E-4"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","No sampling","Best First","Sensitive learning","0.935484","0.93617","0.06383","0.064516","0.868263","0.935484","0.655079","-8.76E-4"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","No sampling","Best First","No cost sensitive","0.954839","0.93617","0.06383","0.045161","0.870588","0.954839","0.65731","0.0256"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","No sampling","No selection","Sensitive threshold","0.935484","0.93617","0.06383","0.064516","0.868263","0.935484","0.499657","-8.76E-4"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","No sampling","No selection","Sensitive learning","0.935484","0.93617","0.06383","0.064516","0.868263","0.935484","0.655079","-8.76E-4"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","No sampling","No selection","No cost sensitive","0.954839","0.957447","0.042553","0.045161","0.868035","0.954839","0.655079","-0.003621"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","Undersampling","Best First","Sensitive threshold","0.841935","0.87234","0.12766","0.158065","0.864238","0.841935","0.484798","-0.028357"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","Undersampling","Best First","Sensitive learning","0.858065","0.87234","0.12766","0.141935","0.86645","0.858065","0.558785","-0.0139"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","Undersampling","Best First","No cost sensitive","0.680645","0.510638","0.489362","0.319355","0.897872","0.680645","0.602196","0.101381"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","Undersampling","No selection","Sensitive threshold","0.841935","0.87234","0.12766","0.158065","0.864238","0.841935","0.484798","-0.028357"
"BOOKKEEPER","3","66.42","12.85","13.13","IBk","Undersampling","No selection","Sensitive learning","0.858065","0.87234","0.12766","0.141935","0.86645","0.858065","0.558785","-0.0139"
