@relation file_bookkeeper/training_bookkeeper_4
@attribute size numeric
@attribute commit_number numeric
@attribute loc_touched numeric
@attribute loc_added numeric
@attribute max_loc_added numeric
@attribute avg_loc_added numeric
@attribute churn numeric
@attribute max_churn numeric
@attribute avg_churn numeric
@attribute auth_number numeric
@attribute class {true, false}

@data
509,7,567,531,378,378,541,378,77,3,true
40,1,40,40,40,40,40,40,40,1,false
215,3,227,215,177,177,215,177,71,1,false
271,2,284,271,260,260,271,260,135,1,false
451,5,575,492,425,425,459,425,91,3,false
196,2,203,197,195,195,196,195,98,1,false
665,2,666,665,665,665,665,665,332,1,false
37,1,37,37,37,37,37,37,37,1,false
27,1,27,27,27,27,27,27,27,1,false
48,1,48,48,48,48,48,48,48,1,false
788,7,877,823,712,712,788,712,112,3,false
32,1,32,32,32,32,32,32,32,1,false
66,2,77,69,69,69,72,69,36,1,false
88,2,143,113,113,113,138,113,69,1,false
52,2,56,53,53,53,54,53,27,1,false
51,2,52,51,51,51,51,51,25,1,false
31,1,31,31,31,31,31,31,31,1,false
77,1,77,77,77,77,77,77,77,1,true
63,1,63,63,63,63,63,63,63,1,false
191,2,193,191,190,190,191,190,95,1,true
64,1,64,64,64,64,64,64,64,1,false
45,1,45,45,45,45,45,45,45,1,false
132,1,132,132,132,132,132,132,132,1,false
187,4,213,189,183,183,191,183,47,2,true
91,1,91,91,91,91,91,91,91,1,false
576,3,591,578,550,550,576,550,192,2,true
36,1,36,36,36,36,36,36,36,1,false
55,1,55,55,55,55,55,55,55,1,false
137,4,303,205,137,137,139,137,34,2,false
1213,8,783,13,260,260,1231,601,153,4,false
48,3,56,48,48,48,48,48,16,2,false
152,4,69,26,63,63,152,88,38,3,false
1172,8,325,62,237,237,1172,589,146,4,false
540,5,139,2,133,133,540,271,108,4,false
557,7,153,2,136,136,559,280,79,4,false
735,5,181,1,176,176,735,368,147,4,false
46,2,47,46,46,46,46,46,23,2,false
293,6,137,37,127,127,293,165,48,3,false
631,6,155,9,148,148,631,320,105,3,false
114,3,59,0,58,58,114,58,38,3,false
625,6,168,32,149,149,625,315,104,4,false
74,2,78,74,74,74,74,74,37,2,false
37,1,37,37,37,37,37,37,37,1,false
38,2,40,38,38,38,38,38,19,2,false
39,2,40,39,39,39,39,39,19,2,false
213,7,170,40,95,95,225,123,32,4,false
182,5,95,8,87,87,186,96,37,3,false
142,6,94,5,70,70,148,74,24,4,false
1197,14,849,120,329,329,1609,681,114,4,false
169,6,117,8,83,83,171,86,28,4,false
855,12,525,75,224,224,1157,475,96,4,false
2275,17,1444,184,585,585,3107,1270,182,4,false
41,1,41,41,41,41,41,41,41,1,false
66,2,79,66,65,65,66,65,33,2,false
117,4,55,9,45,45,117,63,29,3,false
47,2,51,47,47,47,47,47,23,2,false
183,4,205,185,185,185,187,185,46,3,false
49,1,49,49,49,49,49,49,49,1,false
50,1,50,50,50,50,50,50,50,1,false
98,2,100,98,97,97,98,97,49,2,false
281,2,138,5,138,138,281,143,140,2,false
43,1,43,43,43,43,43,43,43,1,false
42,1,42,42,42,42,42,42,42,1,false
112,2,56,0,56,56,112,56,56,2,false
416,8,229,95,162,162,416,204,52,4,false
153,2,155,153,153,153,153,153,76,2,false
197,5,68,25,43,43,197,86,39,3,false
141,3,42,59,41,41,141,100,47,3,false
211,4,159,1,104,104,211,106,52,3,false
211,6,148,1,103,103,211,106,35,4,false
185,5,129,1,91,91,185,93,37,4,false
101,3,151,101,100,100,101,100,33,2,false
83,2,45,0,45,45,83,45,41,2,false
1461,16,562,285,289,289,1461,636,91,4,false
64,3,35,0,31,31,64,32,21,3,false
111,1,111,111,111,111,111,111,111,1,false
35,2,36,35,35,35,35,35,17,2,false
337,3,81,5,81,81,337,171,112,3,false
27,1,27,27,27,27,27,27,27,1,false
28,1,28,28,28,28,28,28,28,1,false
186,9,94,56,29,29,186,65,20,3,false
2591,20,1143,374,561,561,2631,1142,131,4,false
131,3,80,3,64,64,131,67,43,3,false
29,2,30,29,29,29,29,29,14,2,false
136,3,65,8,64,64,136,72,45,3,false
37,2,40,37,37,37,37,37,18,2,false
303,5,94,13,68,68,303,146,60,4,false
699,12,442,146,153,153,817,324,68,4,false
332,5,102,26,72,72,332,155,66,4,false
1731,18,563,89,364,364,1731,843,96,4,false
76,2,78,76,76,76,76,76,38,2,false
633,6,170,1,158,158,633,313,105,4,false
3642,17,1969,559,736,736,3740,1645,220,4,false
74,2,76,74,74,74,74,74,37,2,false
195,5,115,9,93,93,195,93,39,4,false
22,1,22,22,22,22,22,22,22,1,false
1824,8,497,8,426,426,1824,913,228,4,false
62,1,62,62,62,62,62,62,62,1,false
117,3,59,1,58,58,117,59,39,3,false
375,4,96,5,91,91,375,190,93,3,false
27,2,28,27,27,27,27,27,13,2,false
77,2,79,77,77,77,77,77,38,2,false
2998,13,1175,209,703,703,3020,1450,232,4,false
63,2,67,63,63,63,63,63,31,2,false
91,2,37,17,37,37,91,54,45,2,false
64,2,65,64,64,64,64,64,32,2,false
256,3,127,8,124,124,256,132,85,3,false
669,8,184,5,159,159,669,336,83,3,false
72,3,41,0,36,36,72,36,24,3,false
58,2,60,58,57,57,58,57,29,2,false
62,1,62,62,62,62,62,62,62,1,false
262,5,142,4,129,129,262,132,52,3,false
148,3,76,0,73,73,148,74,49,3,false
83,3,86,83,82,82,83,82,27,2,false
74,1,74,74,74,74,74,74,74,1,false
48,2,50,48,48,48,48,48,24,2,false
134,3,61,15,60,60,134,74,44,3,false
156,4,76,16,70,70,156,86,39,3,false
1076,9,241,0,180,180,1090,538,121,4,false
53,1,53,53,53,53,53,53,53,1,false
2314,18,893,231,450,450,2354,1138,130,3,false
114,3,45,36,39,39,114,74,38,2,false
203,7,131,48,78,78,203,89,29,4,false
413,9,113,115,64,64,413,226,45,4,false
57,2,61,57,57,57,57,57,28,2,false
439,5,126,16,104,104,439,212,87,3,false
799,6,208,3,187,187,799,401,133,4,false
155,3,81,5,75,75,155,80,51,3,false
