"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java","104","2","134","104","104","104","104","104","52","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java","35","1","35","35","35","35","35","35","35","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java","98","2","99","98","98","98","98","98","49","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java","79","3","94","79","78","78","79","78","26","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","1026","14","1294","1074","545","545","1026","545","73","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java","92","3","121","92","81","81","92","81","30","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","180","4","195","180","168","168","180","168","45","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java","471","9","729","567","487","487","551","487","61","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java","204","5","210","204","124","124","204","124","40","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java","551","7","630","560","536","536","557","536","79","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java","149","5","168","149","133","133","149","133","29","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java","157","3","164","157","151","151","157","151","52","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","147","1","147","147","147","147","147","147","147","1","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java","137","5","356","224","126","126","141","126","28","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java","271","4","280","271","249","249","271","249","67","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java","548","9","1407","915","410","410","548","410","60","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java","205","4","212","205","204","204","205","204","51","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java","50","2","53","50","50","50","50","50","25","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java","185","5","207","185","184","184","185","184","37","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","61","3","66","61","61","61","61","61","20","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java","157","8","224","171","167","167","181","167","22","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java","81","4","93","82","80","80","81","80","20","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","84","3","162","113","83","83","84","83","28","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java","762","12","1920","1220","547","547","770","547","64","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","248","7","294","254","198","198","252","198","36","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","169","9","236","173","140","140","171","140","19","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java","196","6","225","197","178","178","196","178","32","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java","67","4","76","67","67","67","67","67","16","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java","165","4","182","165","138","138","165","138","41","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java","173","4","193","173","170","170","173","170","43","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java","87","2","88","87","87","87","87","87","43","2","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java","85","2","86","85","85","85","85","85","42","2","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java","181","7","207","185","178","178","189","178","27","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java","154","4","162","154","75","75","154","75","38","3","true"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java","393","11","529","433","209","209","399","209","36","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java","132","3","139","132","75","75","132","75","44","3","false"
"4.0.0","bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java","533","8","561","538","521","521","535","521","66","3","false"
